update,loss,mean_q
0,942.2032470703125,1.7351489067077637
200,728.0946655273438,3.2204151153564453
400,763.9376831054688,5.294172763824463
600,468.5677795410156,8.683443069458008
800,760.5286865234375,10.415555000305176
1000,1104.7540283203125,10.05033016204834
1200,846.9078979492188,10.30322265625
1400,777.175537109375,13.405425071716309
1600,491.58428955078125,16.693302154541016
1800,542.298583984375,24.322654724121094
2000,778.2945556640625,25.909587860107422
2200,595.6444091796875,31.027681350708008
2400,962.8818969726562,38.58561706542969
2600,778.86328125,44.49193572998047
2800,487.15118408203125,51.12786865234375
3000,530.2257690429688,56.24977111816406
3200,894.4427490234375,63.10130310058594
3400,832.0091552734375,65.60377502441406
3600,810.3910522460938,68.62715148925781
3800,799.7106323242188,77.27007293701172
4000,835.9105224609375,78.65161895751953
4200,886.77734375,81.0575180053711
4400,903.012939453125,77.90814971923828
4600,1448.4683837890625,86.4259262084961
4800,578.4998168945312,91.0869140625
5000,971.6215209960938,94.50914001464844
5200,879.83056640625,98.49928283691406
5400,1757.5604248046875,105.4017562866211
5600,913.7522583007812,107.62016296386719
5800,943.2109375,113.83930206298828
6000,722.996337890625,116.99126434326172
6200,781.39208984375,117.88658142089844
6400,991.3607177734375,124.32252502441406
6600,1044.8890380859375,127.45095825195312
6800,704.7083740234375,130.60499572753906
7000,537.9462280273438,132.07391357421875
7200,940.777587890625,134.46371459960938
7400,1316.529052734375,139.80667114257812
7600,823.5966796875,139.96131896972656
7800,842.4141845703125,143.0719451904297
8000,818.7499389648438,148.54568481445312
8200,634.9505004882812,149.27835083007812
8400,1047.5284423828125,151.2964630126953
8600,942.3082885742188,156.5798797607422
8800,953.8759155273438,154.13711547851562
9000,649.1905517578125,159.18780517578125
9200,758.8493041992188,162.93508911132812
9400,869.4248046875,161.89443969726562
9600,1053.1336669921875,168.32611083984375
9800,736.8780517578125,169.56494140625
10000,962.2034301757812,176.7866973876953
10200,466.871337890625,182.89981079101562
10400,923.6573486328125,188.3890380859375
10600,856.6925048828125,193.17433166503906
10800,1025.969970703125,198.8826904296875
11000,954.9769287109375,203.5532989501953
11200,743.8504638671875,205.98545837402344
11400,495.92291259765625,209.007568359375
11600,730.2989501953125,216.53883361816406
11800,805.0481567382812,225.7161865234375
12000,670.1698608398438,233.50083923339844
12200,787.2086181640625,240.07247924804688
12400,655.7449951171875,243.142822265625
12600,765.9944458007812,243.9773406982422
12800,670.4468994140625,248.6355743408203
13000,748.6654052734375,250.71536254882812
13200,622.7311401367188,260.4877624511719
13400,714.9658203125,269.955078125
13600,711.08740234375,271.4569091796875
13800,699.5905151367188,274.7289733886719
14000,590.7965698242188,278.459228515625
14200,767.2530517578125,283.3212890625
14400,702.86328125,281.6184997558594
14600,660.8651733398438,285.5600891113281
14800,777.3819580078125,289.1368408203125
15000,463.44830322265625,292.4018249511719
15200,593.521240234375,296.58782958984375
15400,927.10888671875,303.21661376953125
15600,651.578125,316.02471923828125
15800,644.9007568359375,324.599609375
16000,536.885009765625,334.9415588378906
16200,731.330078125,337.8900451660156
16400,677.4797973632812,340.5184326171875
16600,671.2893676757812,344.33172607421875
16800,529.4124755859375,356.9476013183594
17000,582.2059936523438,361.4958801269531
17200,697.6068115234375,368.8553161621094
17400,871.2936401367188,373.9308166503906
17600,590.5938720703125,378.0514831542969
17800,553.538330078125,389.4071350097656
18000,842.9976806640625,388.75164794921875
18200,619.4465942382812,394.30572509765625
18400,704.136962890625,396.8351745605469
18600,598.9805908203125,399.8083190917969
18800,736.53515625,405.0540771484375
19000,642.0076904296875,412.5703125
19200,697.6300659179688,411.5348205566406
19400,747.5089721679688,422.7054748535156
19600,888.2158813476562,428.1107177734375
19800,745.8652954101562,431.21868896484375
