episode,reward,loss
1,-33.599000000000046,4.954205617037687
2,-91.63999999999999,8.600387049757916
3,-349.758,7.960726321689666
4,-455.17900000000003,10.657931018883074
5,-225.23799999999994,9.781816899776459
6,-460.21400000000006,11.759520422328603
7,-11.834000000000003,11.014795290959345
8,-186.05199999999985,11.223126056242963
9,-310.44000000000005,10.29206612280437
10,-48.326000000000136,11.225276093255905
11,-326.25099999999986,11.149717566478683
12,-405.547,12.888799394880023
13,-189.90599999999992,12.293438299496968
14,-233.15300000000005,14.626456022262573
15,-48.53099999999995,13.652520542559417
16,-71.7050000000001,13.504935098731
17,-244.2790000000001,12.840298104448383
18,-49.19999999999999,13.49470909806185
19,-302.38300000000004,13.865567426212499
20,-538.9300000000001,15.175390854216458
21,-464.406,14.677870698408647
22,-110.75200000000015,15.193962999137051
23,-193.053,13.894519078926962
24,188.8970000000001,15.775601606453414
25,-528.932,15.249386151631674
26,4.307999999999993,15.11632966213539
27,-284.43699999999995,16.185913330469376
28,-145.081,16.206004734697014
29,-466.3009999999998,14.26976792686864
30,-248.31400000000002,16.410630169199475
31,82.40599999999998,15.525337535556
32,-101.49899999999998,16.95084334110868
33,-53.62299999999997,16.036453998607136
34,-256.90999999999997,16.453485353669123
35,-186.44099999999997,16.912713269718356
36,-489.90099999999995,15.26706284743089
37,-116.29799999999996,14.541195363883512
38,-619.374,15.764455172323412
39,-244.45800000000003,16.068961899856042
40,-205.40799999999996,17.68036861942239
41,-175.91600000000005,16.363328051567077
42,-518.4600000000002,15.877017561127158
43,54.11600000000007,16.70172522519086
44,-377.99299999999994,17.08866418082759
45,62.74499999999994,16.323834484273736
46,-348.55500000000006,16.539243817329407
47,-457.2079999999999,15.822352590560913
48,-320.727,19.15711896461353
49,-306.72000000000014,17.08307347759124
50,-619.3840000000001,17.52942902811112
51,29.53299999999996,17.101813039001154
52,-48.61700000000002,16.046858072280884
53,-202.24600000000007,15.60346393116185
54,-499.9789999999999,15.556064367294312
55,-145.77100000000002,18.19634790603931
56,-232.864,17.920292660341424
57,-264.80699999999996,17.38096395854292
58,50.16,17.52519569974957
59,-825.59,17.467099905014038
60,-68.90899999999998,18.098582701896554
61,-280.26400000000007,15.860157498446378
62,-100.24100000000001,18.655734043854935
63,-271.2300000000001,18.512787992889816
64,-225.14499999999998,19.5198057866564
65,-57.48599999999992,18.14441603333203
66,-36.60800000000006,19.04801778440122
67,36.980999999999966,18.08051306406657
68,-91.61099999999996,20.01030228819166
69,-50.08999999999997,18.23966517271819
70,92.38999999999993,18.779139006839078
71,-660.7490000000001,17.222560158797673
72,-278.6350000000001,18.071471448530232
73,-637.7630000000001,17.521621691214072
74,-28.721000000000036,19.41092313081026
75,-121.72800000000001,17.852195400302694
76,78.60199999999995,19.54662337022669
77,-56.83999999999997,18.780936921229127
78,-224.00399999999985,18.931169623035494
79,-454.15200000000004,18.865693980249866
80,-85.34000000000002,19.55237723178551
81,-115.21100000000013,19.64710738442161
82,-236.29599999999994,19.797735295053254
83,-48.03500000000001,20.101177347623384
84,-107.68299999999992,18.903528328864805
85,-116.50400000000012,21.43681283558116
86,-85.66300000000003,20.406414783917942
87,-253.74700000000007,20.04081244082064
88,-187.92300000000003,22.665515273364623
89,-302.81600000000003,21.29178269704183
90,-1120.562,20.849010802151863
91,-445.08000000000015,20.510374475032727
92,-120.327,22.07279732648064
93,113.29399999999998,22.0315005686376
94,-55.476,23.12707544962565
95,-166.8150000000001,20.328644222683376
96,-127.25400000000002,23.05332754172531
97,-185.00099999999995,23.044715291575383
98,47.37000000000006,23.66656999027028
99,-17.951999999999956,23.527650992075603
100,-129.57,25.04034375084771
